Tempo(s)	P0(KPa)	P0+Coluna(KPa)	P1(KPa)	P1+Coluna(KPa)
12.749	15.09	24.25	0.03	7.69
12.839	13.36	22.51	-0.01	7.65
12.929	11.52	20.67	-0.07	7.59
13.019	9.45	18.60	0.07	7.73
13.108	9.93	19.08	-0.07	7.59
13.203	16.93	26.09	0.07	7.73
13.297	21.76	30.92	0.01	7.67
13.387	23.13	32.28	0.04	7.70
13.481	18.58	27.73	0.03	7.69
13.577	13.92	23.07	-0.09	7.57
13.667	15.12	24.27	0.07	7.73
13.763	16.95	26.11	-0.02	7.64
13.857	16.32	25.47	-0.05	7.61
13.947	15.58	24.73	0.01	7.67
14.037	14.16	23.31	0.04	7.70
14.127	12.34	21.49	-0.09	7.57
14.217	10.49	19.64	0.06	7.72
14.307	8.78	17.93	-0.05	7.61
14.396	13.29	22.45	0.01	7.67
14.486	19.36	28.51	0.04	7.70
14.576	22.59	31.74	-0.09	7.57
14.666	21.93	31.09	0.06	7.72
14.756	16.53	25.68	-0.05	7.61
14.846	13.52	22.67	0.01	7.67
14.936	15.93	25.09	0.05	7.71
15.026	16.82	25.97	-0.09	7.57
15.116	16.08	25.23	0.06	7.72
15.206	15.44	24.59	-0.05	7.61
15.296	13.83	22.99	0.01	7.67
15.386	12.03	21.18	0.04	7.70
15.476	10.21	19.37	-0.09	7.57
15.566	8.92	18.07	0.06	7.72
15.656	14.47	23.62	-0.05	7.61
15.747	20.18	29.33	0.03	7.69
15.837	22.97	32.13	-0.02	7.64
15.927	21.09	30.25	-0.07	7.59
16.017	15.53	24.69	0.07	7.73
16.119	13.80	22.96	0.03	7.69
16.215	16.74	25.90	0.06	7.72
16.305	16.58	25.74	-0.05	7.61
16.395	15.78	24.94	0.01	7.67
16.485	14.87	24.02	0.04	7.70
16.575	13.08	22.24	-0.09	7.57
16.665	11.20	20.36	0.07	7.73
16.755	9.19	18.34	-0.05	7.61
16.845	10.40	19.55	0.01	7.67
16.935	17.15	26.30	0.04	7.70
17.025	21.71	30.87	-0.09	7.57
17.115	22.98	32.14	0.07	7.73
17.205	18.79	27.94	-0.05	7.61
17.295	14.09	23.25	0.01	7.67
17.385	14.59	23.75	0.04	7.70
17.475	16.81	25.97	-0.09	7.57
17.565	16.38	25.54	0.07	7.73
17.655	15.78	24.94	-0.05	7.61
17.745	14.67	23.82	0.01	7.67
17.834	12.74	21.90	0.04	7.70
17.929	10.84	20.00	0.02	7.68
18.024	8.92	18.07	-0.08	7.58
18.114	12.42	21.58	0.06	7.72
18.210	19.24	28.40	-0.01	7.65
18.304	22.70	31.85	-0.05	7.61
18.394	21.98	31.13	0.01	7.67
18.484	16.57	25.72	0.03	7.69
18.574	13.65	22.80	-0.09	7.57
18.664	16.09	25.25	0.07	7.73
18.754	16.86	26.02	-0.06	7.60
18.844	16.16	25.32	0.01	7.67
18.934	15.48	24.63	0.03	7.69
19.024	13.90	23.06	-0.08	7.58
19.114	12.14	21.29	0.07	7.73
19.204	10.16	19.31	-0.06	7.60
19.294	8.99	18.15	0.02	7.68
19.384	14.62	23.77	0.03	7.69
19.474	20.29	29.44	-0.09	7.57
19.564	23.20	32.35	0.07	7.73
19.653	21.29	30.45	-0.06	7.60
19.743	15.75	24.90	0.02	7.68
19.833	13.72	22.87	0.03	7.69
19.923	16.46	25.61	-0.09	7.57
20.013	16.86	26.01	0.07	7.73
20.103	16.00	25.15	-0.06	7.60
20.193	15.32	24.47	0.02	7.68
20.283	13.61	22.76	0.03	7.69
20.373	11.88	21.04	-0.08	7.58
20.463	9.84	18.99	0.07	7.73
20.553	9.41	18.56	-0.06	7.60
20.643	15.98	25.13	0.02	7.68
20.733	21.08	30.23	0.02	7.68
20.823	23.24	32.40	-0.08	7.58
20.914	20.26	29.42	0.07	7.73
21.004	15.00	24.15	-0.08	7.58
21.094	14.20	23.35	0.04	7.70
21.189	16.92	26.08	-0.09	7.57
21.283	16.63	25.79	0.02	7.68
21.376	15.62	24.78	0.02	7.68
21.472	14.74	23.89	-0.08	7.58
21.562	12.72	21.88	0.07	7.73
21.652	10.95	20.10	-0.06	7.60
21.742	9.01	18.16	0.02	7.68
21.832	11.74	20.90	0.02	7.68
21.922	18.34	27.50	-0.08	7.58
22.012	22.42	31.57	0.07	7.73
22.102	22.86	32.01	-0.06	7.60
22.192	17.85	27.00	0.02	7.68
22.286	13.80	22.95	-0.08	7.58
22.382	15.74	24.89	0.01	7.67
22.472	16.98	26.13	-0.08	7.58
22.562	16.29	25.44	0.07	7.73
22.652	15.53	24.69	-0.06	7.60
22.750	13.76	22.92	-0.04	7.62
22.846	11.90	21.05	0.07	7.73
22.942	9.91	19.06	0.02	7.68
23.032	9.25	18.40	0.00	7.66
23.121	15.39	24.55	-0.08	7.58
23.211	20.71	29.87	0.08	7.74
23.301	23.11	32.27	-0.07	7.59
23.391	20.75	29.90	0.03	7.69
23.481	15.24	24.39	-0.01	7.65
23.571	13.87	23.03	-0.07	7.59
23.661	16.67	25.82	0.08	7.74
23.751	16.72	25.87	-0.07	7.59
23.841	15.95	25.10	0.03	7.69
23.931	15.06	24.21	-0.01	7.65
24.021	13.25	22.41	-0.07	7.59
24.111	11.48	20.64	0.07	7.73
24.201	9.38	18.54	-0.07	7.59
24.291	9.81	18.96	0.03	7.69
24.381	16.61	25.77	-0.02	7.64
24.471	21.47	30.62	-0.07	7.59
24.561	23.21	32.37	0.07	7.73
24.651	19.56	28.71	-0.08	7.58
24.741	14.55	23.70	0.03	7.69
24.831	14.39	23.55	-0.02	7.64
24.920	16.83	25.99	-0.06	7.60
25.010	16.60	25.76	0.07	7.73
25.100	15.69	24.84	-0.08	7.58
25.190	14.91	24.06	0.03	7.69
25.280	12.99	22.15	-0.03	7.63
25.370	11.18	20.33	-0.05	7.61
25.460	9.12	18.27	0.07	7.73
25.550	10.95	20.11	-0.08	7.58
25.640	17.73	26.89	0.04	7.70
25.730	22.13	31.28	-0.03	7.63
25.820	23.04	32.19	-0.04	7.62
25.910	18.44	27.59	0.07	7.73
26.003	13.99	23.14	-0.04	7.62
26.100	15.40	24.55	-0.08	7.58
26.190	17.07	26.22	0.04	7.70
26.280	16.36	25.52	-0.04	7.62
26.370	15.60	24.76	-0.03	7.63
26.460	14.36	23.52	0.07	7.73
26.550	12.38	21.53	-0.08	7.58
26.656	10.19	19.34	0.05	7.71
26.749	9.07	18.23	-0.08	7.58
26.839	14.74	23.89	0.05	7.71
26.929	20.28	29.43	-0.04	7.62
27.019	23.03	32.18	-0.02	7.64
27.109	21.38	30.53	0.06	7.72
27.205	15.54	24.69	0.04	7.70
27.299	13.96	23.11	-0.09	7.57
27.389	16.73	25.88	0.06	7.72
27.479	16.72	25.88	-0.04	7.62
27.569	15.98	25.14	-0.00	7.66
27.659	15.28	24.43	0.06	7.72
27.749	13.41	22.57	-0.09	7.57
27.839	11.53	20.68	0.06	7.72
27.929	9.57	18.72	-0.04	7.62
28.019	9.90	19.05	0.00	7.66
28.109	16.66	25.81	0.05	7.71
28.199	21.59	30.74	-0.08	7.58
28.289	23.24	32.39	0.06	7.72
28.378	19.64	28.79	-0.05	7.61
28.468	14.53	23.69	0.01	7.67
28.558	14.57	23.72	0.04	7.70
28.648	17.02	26.18	-0.09	7.57
28.738	16.65	25.80	0.07	7.73
28.828	15.73	24.88	-0.06	7.60
28.918	15.00	24.15	0.02	7.68
29.008	13.19	22.34	0.02	7.68
29.098	11.29	20.44	-0.09	7.57
29.188	9.26	18.41	0.07	7.73
29.278	11.09	20.24	-0.06	7.60
29.368	17.90	27.05	0.02	7.68
29.458	22.13	31.28	0.02	7.68
29.548	23.08	32.24	-0.09	7.57
29.638	18.53	27.68	0.07	7.73
29.728	14.15	23.30	-0.06	7.60
29.818	15.11	24.27	0.02	7.68
29.908	17.09	26.24	0.00	7.66
29.998	16.51	25.66	-0.08	7.58
30.087	15.77	24.92	0.07	7.73
30.177	14.69	23.84	-0.07	7.59
30.267	12.87	22.03	0.02	7.68
30.357	11.01	20.16	-0.01	7.65
30.447	8.98	18.13	-0.07	7.59
30.537	12.43	21.58	0.08	7.74
30.627	18.92	28.08	-0.08	7.58
30.717	22.60	31.75	0.03	7.69
30.807	22.76	31.92	-0.02	7.64
30.897	17.64	26.80	-0.06	7.60
30.987	13.86	23.01	0.07	7.73
31.115	16.84	25.99	-0.01	7.65
31.207	16.84	25.99	-0.03	7.63
31.298	15.90	25.06	-0.00	7.66
31.388	15.31	24.47	0.05	7.71
31.478	13.39	22.54	-0.09	7.57
31.568	11.66	20.81	0.06	7.72
31.658	9.74	18.89	-0.05	7.61
31.762	11.09	20.24	-0.08	7.58
31.857	18.09	27.24	-0.03	7.63
31.950	22.54	31.69	0.04	7.70
32.046	22.76	31.91	-0.04	7.62
32.136	17.71	26.87	0.07	7.73
32.226	13.77	22.92	-0.08	7.58
32.316	15.65	24.80	0.05	7.71
32.406	17.09	26.25	-0.04	7.62
32.496	16.41	25.56	-0.03	7.63
32.586	15.62	24.78	0.07	7.73
32.676	14.53	23.69	-0.09	7.57
32.766	12.60	21.75	0.05	7.71
32.856	10.71	19.86	-0.04	7.62
32.946	8.98	18.13	-0.01	7.65
33.036	13.57	22.73	0.07	7.73
33.126	19.73	28.88	-0.09	7.57
33.216	23.10	32.25	0.06	7.72
33.306	22.41	31.56	-0.04	7.62
33.396	16.89	26.04	-0.01	7.65
33.486	13.91	23.06	0.06	7.72
33.576	16.42	25.57	-0.09	7.57
33.665	17.11	26.26	0.06	7.72
33.755	16.31	25.47	-0.04	7.62
33.845	15.56	24.71	0.00	7.66
33.935	14.00	23.16	0.06	7.72
34.025	12.15	21.30	-0.09	7.57
34.115	10.29	19.45	0.06	7.72
34.205	9.13	18.28	-0.04	7.62
34.295	14.93	24.08	0.01	7.67
34.385	20.53	29.69	0.05	7.71
34.475	23.22	32.38	-0.09	7.57
34.565	21.35	30.50	0.07	7.73
34.655	16.00	25.15	-0.05	7.61
34.745	14.06	23.21	0.01	7.67
34.835	16.74	25.89	0.03	7.69
34.925	16.91	26.07	-0.09	7.57
35.015	16.08	25.24	0.07	7.73
35.105	15.45	24.61	-0.05	7.61
35.195	13.81	22.97	0.02	7.68
35.285	11.93	21.09	0.03	7.69
35.375	9.93	19.09	-0.09	7.57
35.464	9.64	18.80	0.07	7.73
35.559	16.48	25.64	-0.07	7.59
35.654	21.76	30.92	-0.06	7.60
35.744	23.39	32.55	0.02	7.68
35.834	19.78	28.93	0.02	7.68
35.924	14.76	23.92	-0.09	7.57
36.014	14.63	23.78	0.07	7.73
36.104	17.16	26.31	-0.06	7.60
36.194	16.77	25.92	0.02	7.68
36.290	15.72	24.87	-0.09	7.57
36.384	14.91	24.07	0.01	7.67
36.475	12.87	22.03	-0.04	7.62
36.565	11.05	20.21	0.07	7.73
36.655	9.03	18.19	-0.09	7.57
36.745	12.08	21.24	0.04	7.70
36.835	18.66	27.81	-0.04	7.62
36.925	22.62	31.78	-0.04	7.62
37.018	22.83	31.99	-0.03	7.63
37.114	17.36	26.51	0.08	7.74
37.203	13.84	23.00	-0.06	7.60
37.313	16.51	25.66	0.07	7.73
37.403	16.87	26.02	-0.07	7.59
37.493	16.09	25.25	0.03	7.69
37.583	15.42	24.58	0.00	7.66
37.673	13.74	22.90	-0.08	7.58
37.763	11.96	21.11	0.08	7.74
37.853	10.01	19.17	-0.07	7.59
37.943	9.26	18.42	0.03	7.69
38.033	15.72	24.87	-0.01	7.65
38.123	21.06	30.21	-0.07	7.59
38.213	23.28	32.43	0.08	7.74
38.303	20.72	29.88	-0.07	7.59
38.393	15.41	24.56	0.02	7.68
38.483	14.10	23.26	-0.01	7.65
38.573	16.91	26.06	-0.07	7.59
38.663	16.76	25.91	0.08	7.74
38.753	15.92	25.07	-0.07	7.59
38.843	15.20	24.35	0.03	7.69
38.932	13.48	22.64	-0.01	7.65
39.022	11.68	20.84	-0.08	7.58
39.112	9.68	18.84	0.08	7.74
39.202	10.12	19.27	-0.07	7.59
39.292	16.84	25.99	0.03	7.69
39.382	21.68	30.83	-0.01	7.65
39.472	23.52	32.67	-0.07	7.59
39.562	19.75	28.90	0.08	7.74
39.652	14.66	23.82	-0.07	7.59
39.742	14.60	23.76	0.03	7.69
39.832	17.11	26.26	-0.01	7.65
39.922	16.79	25.94	-0.08	7.58
40.016	15.76	24.92	-0.04	7.62
40.112	14.87	24.03	0.08	7.74
40.202	12.99	22.14	-0.07	7.59
40.292	10.99	20.15	0.03	7.69
40.382	9.11	18.26	-0.01	7.65
40.472	11.98	21.13	-0.08	7.58
40.562	18.51	27.66	0.08	7.74
40.652	22.50	31.65	-0.07	7.59
40.741	22.96	32.11	0.03	7.69
40.837	17.55	26.70	-0.09	7.57
40.931	13.82	22.97	-0.01	7.65
41.021	15.99	25.14	-0.08	7.58
41.111	17.05	26.20	0.08	7.74
41.201	16.20	25.35	-0.07	7.59
41.291	15.59	24.75	0.03	7.69
41.381	14.21	23.36	-0.00	7.66
41.471	12.35	21.50	-0.08	7.58
41.561	10.35	19.50	0.08	7.74
41.652	8.92	18.07	-0.09	7.57
41.747	14.65	23.80	0.02	7.68
41.841	20.61	29.77	0.03	7.69
41.931	23.24	32.40	0.00	7.66
42.021	21.32	30.47	-0.08	7.58
42.111	15.79	24.94	0.07	7.73
42.201	13.91	23.06	-0.07	7.59
42.291	16.74	25.89	0.03	7.69
42.381	16.91	26.06	0.01	7.67
42.470	16.08	25.23	-0.08	7.58
42.564	15.32	24.48	-0.00	7.66
42.660	13.40	22.55	0.07	7.73
42.750	11.59	20.74	-0.06	7.60
42.840	9.61	18.76	0.02	7.68
42.930	10.07	19.23	0.01	7.67
43.020	16.83	25.98	-0.09	7.57
43.110	21.66	30.81	0.08	7.74
43.200	23.39	32.55	-0.06	7.60
43.290	19.67	28.82	0.02	7.68
43.380	14.58	23.74	0.02	7.68
43.470	14.57	23.73	-0.09	7.57
43.560	16.99	26.15	0.07	7.73
43.650	16.62	25.77	-0.06	7.60
43.740	15.82	24.97	0.02	7.68
43.830	14.87	24.02	0.02	7.68
43.920	13.02	22.17	-0.09	7.57
44.010	11.13	20.29	0.07	7.73
44.100	9.11	18.26	-0.06	7.60
44.189	11.20	20.35	0.02	7.68
44.279	17.95	27.10	0.03	7.69
44.374	22.28	31.43	0.03	7.69
44.469	22.81	31.96	-0.09	7.57
44.559	17.79	26.95	0.07	7.73
44.649	13.76	22.91	-0.06	7.60
44.739	15.51	24.66	0.02	7.68
44.829	16.95	26.10	0.03	7.69
44.919	16.30	25.45	-0.09	7.57
45.009	15.53	24.68	0.07	7.73
45.099	14.28	23.44	-0.06	7.60
45.189	12.38	21.54	0.01	7.67
45.285	10.35	19.50	-0.09	7.57
45.379	8.83	17.98	0.04	7.70
45.469	14.03	23.18	-0.09	7.57
45.559	19.96	29.12	0.07	7.73
45.649	23.04	32.20	-0.05	7.61
45.739	21.74	30.90	0.01	7.67
45.829	16.22	25.38	0.04	7.70
45.919	13.61	22.76	-0.09	7.57
46.008	16.31	25.46	0.06	7.72
46.098	16.98	26.13	-0.04	7.62
46.188	16.22	25.37	0.00	7.66
46.278	15.46	24.62	0.05	7.71
46.368	13.71	22.86	-0.09	7.57
46.458	11.86	21.02	0.06	7.72
46.548	9.97	19.12	-0.04	7.62
46.638	9.27	18.42	-0.00	7.66
46.728	15.36	24.51	0.06	7.72
46.819	20.73	29.88	-0.09	7.57
46.909	23.14	32.29	0.08	7.74
46.999	20.84	29.99	-0.07	7.59
47.089	15.28	24.43	0.02	7.68
47.179	13.99	23.14	0.01	7.67
47.269	16.70	25.86	-0.09	7.57
47.359	16.72	25.87	0.07	7.73
47.449	15.92	25.08	-0.06	7.60
47.539	15.16	24.32	0.02	7.68
47.629	13.32	22.47	0.03	7.69
47.719	11.42	20.57	-0.09	7.57
47.821	9.26	18.41	-0.02	7.64
47.917	11.15	20.30	-0.09	7.57
48.007	17.92	27.07	0.04	7.70
48.097	22.20	31.35	-0.03	7.63
48.187	23.01	32.16	-0.04	7.62
48.277	18.44	27.59	0.07	7.73
48.367	13.84	22.99	-0.09	7.57
48.457	15.08	24.23	0.04	7.70
48.547	17.01	26.17	-0.03	7.63
48.637	16.44	25.60	-0.05	7.61
48.731	15.63	24.78	-0.04	7.62
48.827	14.24	23.39	0.07	7.73
48.917	12.41	21.56	-0.08	7.58
49.007	10.42	19.57	0.03	7.69
49.097	8.72	17.88	-0.03	7.63
49.187	13.17	22.32	-0.06	7.60
49.277	19.50	28.65	0.07	7.73
49.367	22.73	31.88	-0.08	7.58
49.456	22.12	31.28	0.03	7.69
49.546	16.66	25.82	-0.02	7.64
49.636	13.53	22.68	-0.07	7.59
49.771	16.88	26.04	-0.00	7.66
49.866	16.54	25.70	-0.07	7.59
49.956	15.78	24.93	0.02	7.68
50.046	14.66	23.81	-0.01	7.65
50.136	12.76	21.91	-0.07	7.59
50.226	10.96	20.11	0.07	7.73
50.316	8.98	18.13	-0.07	7.59
50.406	11.43	20.58	0.02	7.68
50.496	18.07	27.22	0.00	7.66
50.586	22.12	31.28	-0.08	7.58
50.676	22.91	32.06	0.08	7.74
50.766	18.14	27.29	-0.07	7.59
50.856	13.88	23.03	0.02	7.68
50.946	15.24	24.39	0.01	7.67
51.036	16.97	26.13	-0.09	7.57
51.126	16.41	25.57	0.07	7.73
51.220	15.57	24.72	-0.06	7.60
51.315	14.13	23.29	-0.06	7.60
51.405	12.25	21.41	0.02	7.68
51.495	10.40	19.55	0.02	7.68
51.585	8.78	17.93	-0.09	7.57
51.675	13.54	22.69	0.07	7.73
51.765	19.66	28.81	-0.06	7.60
51.858	23.02	32.17	0.06	7.72
51.948	21.94	31.10	-0.06	7.60
52.045	15.96	25.11	0.03	7.69
52.135	13.63	22.78	-0.09	7.57
52.225	16.26	25.42	0.07	7.73
52.315	16.86	26.02	-0.05	7.61
52.405	16.13	25.28	0.01	7.67
52.495	15.33	24.48	0.04	7.70
52.585	13.66	22.81	-0.09	7.57
52.675	11.77	20.92	0.07	7.73
52.765	9.86	19.02	-0.05	7.61
52.866	9.81	18.97	-0.08	7.58
52.961	16.82	25.97	0.05	7.71
53.054	21.67	30.83	0.01	7.67
53.147	23.13	32.29	-0.04	7.62
53.244	18.72	27.88	0.05	7.71
53.334	13.99	23.15	-0.09	7.57
53.424	15.03	24.18	0.06	7.72
53.514	16.97	26.12	-0.04	7.62
53.604	16.50	25.65	-0.00	7.66
53.694	15.67	24.83	0.06	7.72
53.784	14.51	23.67	-0.09	7.57
53.874	12.70	21.85	0.06	7.72
53.964	10.82	19.98	-0.04	7.62
54.054	8.92	18.08	-0.01	7.65
54.144	12.23	21.38	0.07	7.73
54.234	18.73	27.88	-0.09	7.57
54.329	22.62	31.77	-0.02	7.64
54.424	22.26	31.42	0.05	7.71
54.514	16.97	26.12	-0.04	7.62
54.604	13.57	22.73	-0.01	7.65
54.694	16.07	25.22	0.06	7.72
54.783	16.94	26.09	-0.09	7.57
54.873	16.24	25.39	0.05	7.71
54.963	15.61	24.77	-0.04	7.62
55.053	13.97	23.13	-0.03	7.63
55.143	12.05	21.20	0.07	7.73
55.233	10.21	19.37	-0.09	7.57
55.323	8.95	18.10	0.05	7.71
55.413	14.33	23.48	-0.04	7.62
55.503	20.08	29.23	-0.03	7.63
55.593	22.97	32.12	0.07	7.73
55.683	21.59	30.74	-0.09	7.57
55.773	15.99	25.14	0.05	7.71
55.863	13.66	22.81	-0.03	7.63
55.953	16.43	25.59	-0.04	7.62
56.043	16.84	26.00	0.07	7.73
56.133	16.11	25.26	-0.09	7.57
56.223	15.46	24.62	0.04	7.70
56.313	13.63	22.78	-0.03	7.63
56.403	11.83	20.98	-0.05	7.61
56.492	9.81	18.96	0.07	7.73
56.582	9.26	18.42	-0.09	7.57
56.672	15.72	24.87	0.04	7.70
56.762	20.92	30.08	-0.03	7.63
56.852	23.16	32.31	-0.06	7.60
56.942	20.59	29.75	0.07	7.73
57.035	15.00	24.15	-0.09	7.57
57.125	14.08	23.24	0.08	7.74
57.222	16.88	26.03	0.03	7.69
57.319	16.53	25.68	-0.05	7.61
57.412	15.71	24.87	-0.02	7.64
57.502	14.73	23.88	-0.07	7.59
57.592	12.81	21.96	0.07	7.73
57.682	10.91	20.07	-0.08	7.58
57.772	8.99	18.15	0.03	7.69
57.862	11.41	20.56	-0.02	7.64
57.952	18.14	27.30	-0.07	7.59
58.042	22.25	31.41	0.08	7.74
58.132	22.89	32.04	-0.08	7.58
58.221	18.12	27.27	0.02	7.68
58.311	13.89	23.04	-0.01	7.65
58.404	15.21	24.36	0.02	7.68
58.501	17.01	26.17	-0.08	7.58
58.591	16.42	25.58	0.08	7.74
58.681	15.68	24.83	-0.07	7.59
58.777	13.96	23.12	0.05	7.71
58.871	12.07	21.22	0.02	7.68
58.961	10.03	19.18	0.01	7.67
59.051	8.81	17.96	-0.09	7.57
59.141	14.36	23.51	0.07	7.73
59.231	20.11	29.26	-0.06	7.60
59.321	22.93	32.09	0.02	7.68
59.411	21.44	30.60	0.01	7.67
59.501	15.91	25.06	-0.09	7.57
59.591	13.58	22.73	0.07	7.73
59.681	16.37	25.52	-0.06	7.60
59.771	16.87	26.02	0.02	7.68
59.861	16.02	25.17	0.02	7.68
59.951	15.39	24.55	-0.09	7.57
60.040	13.49	22.65	0.07	7.73
60.130	11.67	20.82	-0.06	7.60
60.220	9.74	18.90	0.02	7.68
60.310	9.20	18.35	0.03	7.69
60.400	15.61	24.76	-0.09	7.57
60.490	20.95	30.10	0.07	7.73
60.580	23.13	32.29	-0.06	7.60
60.670	20.53	29.69	0.01	7.67
60.760	15.09	24.24	0.04	7.70
60.850	13.92	23.07	-0.09	7.57
60.940	16.74	25.89	0.06	7.72
61.030	16.74	25.89	-0.05	7.61
61.120	15.99	25.15	0.01	7.67
61.210	15.08	24.23	0.04	7.70
61.300	13.12	22.28	-0.09	7.57
61.390	11.34	20.49	0.06	7.72
61.480	9.36	18.51	-0.04	7.62
61.570	10.02	19.18	0.00	7.66
