Tempo(s)	P0(KPa)	P0+Coluna(KPa)	P1(KPa)	P1+Coluna(KPa)
19.548	19.50	28.04	0.00	7.65
19.638	23.48	32.02	0.06	7.70
19.728	23.86	32.40	-0.08	7.56
19.818	18.79	27.33	0.07	7.71
19.908	14.67	23.21	-0.04	7.60
19.998	16.32	24.86	0.02	7.66
20.088	17.90	26.44	0.05	7.69
20.178	17.24	25.78	-0.08	7.56
20.268	16.42	24.96	0.07	7.71
20.358	15.30	23.84	-0.05	7.60
20.448	13.30	21.83	0.01	7.66
20.538	11.32	19.85	0.04	7.68
20.628	9.70	18.24	-0.08	7.56
20.718	14.13	22.67	0.08	7.72
20.808	20.44	28.98	-0.05	7.59
20.899	23.97	32.51	0.04	7.68
20.989	23.19	31.73	-0.02	7.62
21.079	17.59	26.12	-0.05	7.59
21.174	14.45	22.98	-0.04	7.60
21.267	17.14	25.68	0.08	7.72
21.357	17.79	26.33	-0.05	7.59
21.447	17.03	25.57	0.03	7.67
21.537	16.27	24.80	0.02	7.66
21.627	14.55	23.08	-0.08	7.56
21.717	12.58	21.12	0.08	7.72
21.807	10.64	19.18	-0.06	7.58
21.900	10.12	18.65	0.08	7.73
21.997	16.97	25.50	0.03	7.67
22.091	22.14	30.67	-0.07	7.57
22.187	24.09	32.63	0.01	7.66
22.277	20.54	29.08	-0.08	7.56
22.367	15.35	23.88	0.08	7.72
22.457	15.30	23.84	-0.06	7.58
22.547	17.83	26.37	0.03	7.67
22.642	17.41	25.94	-0.08	7.57
22.736	16.63	25.17	0.00	7.65
22.826	15.63	24.17	-0.08	7.56
22.916	13.62	22.16	0.08	7.72
23.006	11.70	20.24	-0.06	7.58
23.096	9.83	18.37	0.03	7.67
23.186	12.74	21.28	-0.00	7.64
23.276	19.50	28.04	-0.07	7.57
23.366	23.52	32.06	0.08	7.73
23.456	23.81	32.35	-0.07	7.57
23.546	18.75	27.28	0.03	7.67
23.636	14.62	23.16	-0.01	7.64
23.726	16.36	24.90	-0.06	7.58
23.816	17.85	26.39	0.08	7.72
23.906	17.25	25.78	-0.07	7.57
23.996	16.42	24.96	0.03	7.68
24.086	15.27	23.80	-0.01	7.63
24.176	13.24	21.77	-0.06	7.58
24.266	11.35	19.89	0.08	7.72
24.356	9.73	18.27	-0.07	7.57
24.445	14.17	22.70	0.04	7.68
24.535	20.58	29.11	-0.02	7.62
24.625	23.92	32.46	-0.06	7.58
24.715	23.34	31.88	0.08	7.72
24.805	17.75	26.28	-0.07	7.57
24.895	14.60	23.14	0.04	7.68
24.985	17.01	25.54	-0.02	7.63
25.075	17.86	26.40	-0.05	7.59
25.165	17.18	25.72	0.08	7.72
25.255	16.40	24.94	-0.07	7.57
25.345	14.91	23.45	0.04	7.68
25.435	12.95	21.49	-0.02	7.62
25.525	10.89	19.43	-0.05	7.59
25.615	9.76	18.30	0.08	7.72
25.705	15.59	24.13	-0.07	7.57
25.795	21.27	29.80	0.04	7.69
25.885	24.11	32.64	-0.02	7.62
25.978	22.30	30.84	0.04	7.69
26.075	16.33	24.87	-0.05	7.59
26.164	14.84	23.38	0.08	7.72
26.254	17.61	26.15	-0.08	7.56
26.344	17.67	26.21	0.04	7.68
26.439	16.75	25.29	-0.09	7.56
26.534	16.10	24.63	-0.02	7.62
26.624	14.08	22.62	-0.04	7.60
26.714	12.19	20.73	0.08	7.72
26.804	10.22	18.75	-0.08	7.56
26.894	11.33	19.87	0.05	7.69
26.984	18.20	26.74	-0.02	7.62
27.074	22.96	31.50	-0.04	7.60
27.182	23.89	32.42	0.03	7.67
27.274	18.88	27.41	-0.04	7.60
27.364	14.69	23.22	0.08	7.72
27.454	16.38	24.91	-0.08	7.57
27.544	17.90	26.44	0.05	7.69
27.634	17.25	25.79	-0.02	7.62
27.724	16.47	25.01	-0.04	7.60
27.814	15.33	23.86	0.07	7.72
27.903	13.28	21.82	-0.08	7.56
27.993	11.34	19.88	0.05	7.69
28.083	9.74	18.28	-0.03	7.61
28.173	14.15	22.69	-0.04	7.61
28.263	20.46	28.99	0.08	7.72
28.353	23.87	32.40	-0.07	7.57
28.443	23.21	31.75	0.05	7.69
28.533	17.65	26.19	-0.03	7.61
28.623	14.42	22.95	-0.03	7.61
28.713	16.98	25.51	0.08	7.72
28.803	17.78	26.32	-0.08	7.56
28.893	17.22	25.75	0.05	7.69
28.983	16.44	24.98	-0.02	7.62
29.073	14.85	23.38	-0.04	7.61
29.163	12.92	21.46	0.08	7.72
29.253	10.99	19.53	-0.08	7.57
29.343	9.74	18.28	0.05	7.69
29.433	15.54	24.08	-0.03	7.61
29.523	21.32	29.86	-0.04	7.61
29.612	24.06	32.59	0.08	7.72
29.702	22.36	30.90	-0.08	7.56
29.792	16.85	25.39	0.05	7.69
29.882	14.63	23.16	-0.03	7.61
29.972	17.42	25.96	-0.04	7.61
30.062	17.70	26.24	0.08	7.72
30.152	16.95	25.48	-0.08	7.56
30.242	16.28	24.82	0.04	7.69
30.332	14.46	22.99	-0.03	7.61
30.422	12.55	21.09	-0.04	7.61
30.512	10.60	19.14	0.07	7.72
30.602	10.23	18.77	-0.08	7.56
30.692	16.82	25.36	0.05	7.69
30.782	22.09	30.63	-0.03	7.61
30.876	24.37	32.91	0.06	7.71
30.972	20.78	29.31	-0.04	7.61
31.062	15.59	24.13	0.08	7.72
31.152	15.24	23.78	-0.08	7.57
31.243	17.87	26.40	0.07	7.71
31.333	17.58	26.12	-0.05	7.60
31.423	16.62	25.16	0.01	7.66
31.513	15.76	24.29	0.05	7.69
31.617	13.51	22.05	-0.07	7.58
31.711	11.49	20.02	0.08	7.72
31.801	9.68	18.22	-0.08	7.56
31.891	13.32	21.85	0.05	7.69
31.981	19.88	28.42	-0.02	7.62
32.071	23.72	32.25	-0.04	7.60
32.161	23.63	32.17	0.08	7.72
32.251	18.34	26.88	-0.08	7.57
32.341	14.51	23.05	0.04	7.69
32.434	16.75	25.28	-0.08	7.56
32.531	17.78	26.32	-0.02	7.62
32.621	17.11	25.64	-0.04	7.60
32.711	16.44	24.98	0.08	7.72
32.801	14.82	23.35	-0.07	7.57
32.891	12.87	21.41	0.05	7.69
32.981	10.93	19.47	-0.02	7.62
33.071	9.86	18.39	-0.04	7.60
33.160	15.51	24.05	0.08	7.72
33.250	21.38	29.91	-0.08	7.56
33.340	24.13	32.67	0.04	7.69
33.430	22.34	30.88	-0.02	7.62
33.520	16.73	25.26	-0.05	7.59
33.610	14.57	23.10	0.08	7.72
33.700	17.50	26.03	-0.07	7.57
33.790	17.78	26.32	0.04	7.68
33.880	16.94	25.48	-0.03	7.62
33.970	16.26	24.80	-0.05	7.59
34.060	14.30	22.84	0.08	7.72
34.150	12.55	21.09	-0.08	7.57
34.240	10.56	19.09	0.04	7.68
34.330	10.28	18.81	-0.02	7.62
34.420	16.79	25.33	-0.05	7.59
34.510	21.95	30.48	0.08	7.72
34.600	24.24	32.78	-0.07	7.57
34.690	21.43	29.96	0.04	7.68
34.779	15.85	24.39	-0.03	7.62
34.869	14.86	23.39	-0.05	7.59
34.959	17.71	26.25	0.08	7.72
35.049	17.67	26.21	-0.08	7.57
35.139	16.85	25.39	0.04	7.69
35.229	15.99	24.53	-0.02	7.62
35.328	13.77	22.30	0.04	7.68
35.419	11.91	20.45	-0.05	7.59
35.509	10.00	18.54	0.08	7.72
35.599	11.77	20.31	-0.07	7.57
35.689	18.73	27.27	0.04	7.68
35.779	23.08	31.62	-0.02	7.62
35.869	24.13	32.66	-0.05	7.59
35.959	19.75	28.28	0.08	7.72
36.055	14.78	23.31	0.03	7.67
36.149	16.23	24.77	-0.07	7.57
36.239	17.87	26.41	0.04	7.68
36.329	17.23	25.77	-0.02	7.62
36.420	16.49	25.03	0.01	7.65
36.510	15.30	23.84	0.06	7.70
36.600	13.23	21.76	-0.09	7.56
36.690	11.32	19.86	0.06	7.71
36.780	9.72	18.25	-0.04	7.60
36.872	14.27	22.81	0.06	7.70
36.968	20.82	29.36	-0.05	7.59
37.058	24.00	32.53	0.08	7.72
37.148	22.88	31.41	-0.07	7.57
37.238	17.23	25.77	0.04	7.68
37.328	14.54	23.08	-0.02	7.62
37.418	17.29	25.82	-0.05	7.59
37.508	17.96	26.50	0.08	7.72
37.598	16.97	25.50	-0.07	7.57
37.707	16.17	24.71	0.08	7.73
37.798	14.18	22.72	-0.07	7.57
37.888	12.38	20.92	0.04	7.69
37.978	10.42	18.95	-0.02	7.62
38.068	10.87	19.41	-0.05	7.59
38.158	17.69	26.23	0.09	7.73
38.247	22.51	31.05	-0.08	7.57
38.337	24.35	32.89	0.04	7.68
38.427	20.87	29.40	-0.02	7.62
38.517	15.56	24.10	-0.05	7.59
38.607	15.27	23.81	0.08	7.72
38.697	17.89	26.43	-0.08	7.56
38.787	17.52	26.05	0.05	7.69
38.877	16.68	25.21	-0.02	7.62
38.967	15.87	24.41	-0.05	7.59
39.057	13.85	22.39	0.07	7.72
39.147	12.00	20.54	-0.08	7.57
39.237	9.90	18.44	0.04	7.68
39.327	11.85	20.39	-0.02	7.62
39.417	18.73	27.27	-0.04	7.60
39.507	23.12	31.66	0.08	7.72
39.597	24.14	32.68	-0.08	7.56
39.687	19.67	28.20	0.04	7.69
39.817	14.57	23.11	-0.05	7.59
39.908	17.36	25.90	0.03	7.68
39.998	17.75	26.29	-0.08	7.56
40.093	16.89	25.43	-0.01	7.63
40.186	16.12	24.66	0.05	7.69
40.276	14.33	22.87	-0.03	7.62
40.366	12.38	20.92	-0.04	7.60
40.456	10.52	19.06	0.08	7.72
40.546	10.43	18.97	-0.08	7.56
40.642	17.57	26.10	-0.01	7.64
40.736	22.64	31.18	0.05	7.69
40.826	24.28	32.82	-0.03	7.62
40.916	20.48	29.02	-0.04	7.60
41.006	15.40	23.94	0.08	7.72
41.096	15.41	23.94	-0.08	7.56
41.186	18.02	26.55	0.04	7.69
41.276	17.64	26.17	-0.03	7.61
41.366	16.72	25.26	-0.04	7.61
41.456	15.77	24.30	0.08	7.72
41.546	13.81	22.35	-0.08	7.56
41.642	11.69	20.23	-0.02	7.62
41.736	9.77	18.30	0.05	7.69
41.825	12.96	21.49	-0.03	7.61
41.915	19.55	28.09	-0.03	7.61
42.005	23.42	31.96	0.08	7.72
42.095	23.70	32.24	-0.08	7.56
42.185	18.76	27.30	0.05	7.69
42.275	14.61	23.14	-0.03	7.61
42.365	16.44	24.98	-0.03	7.62
42.455	17.82	26.36	0.08	7.72
42.545	17.21	25.75	-0.08	7.56
42.635	16.52	25.06	0.05	7.69
42.725	15.15	23.69	-0.03	7.61
42.815	13.17	21.71	-0.03	7.62
42.905	11.19	19.72	0.07	7.72
42.998	9.61	18.14	-0.01	7.63
43.095	15.01	23.54	-0.08	7.56
43.185	21.16	29.70	0.05	7.69
43.275	24.08	32.61	-0.03	7.61
43.365	22.67	31.21	-0.03	7.62
43.455	16.94	25.48	0.08	7.72
43.544	14.41	22.94	-0.09	7.56
43.634	17.31	25.85	0.05	7.69
43.724	17.82	26.35	-0.03	7.61
43.814	17.00	25.54	-0.02	7.63
43.904	16.19	24.72	0.08	7.72
43.994	14.49	23.03	-0.08	7.56
44.084	12.65	21.19	0.05	7.69
44.178	10.58	19.12	-0.09	7.56
44.274	10.40	18.93	-0.04	7.61
44.364	17.13	25.66	-0.01	7.63
44.454	22.28	30.82	0.07	7.71
44.544	24.29	32.83	-0.08	7.56
44.634	21.17	29.70	0.05	7.69
44.724	15.70	24.24	-0.04	7.61
44.814	14.99	23.53	-0.01	7.63
44.904	17.79	26.33	0.07	7.71
44.994	17.71	26.25	-0.08	7.56
45.089	16.73	25.27	-0.02	7.62
45.184	15.77	24.31	0.06	7.70
45.273	13.81	22.35	-0.04	7.60
45.363	11.85	20.39	-0.01	7.63
45.453	9.91	18.45	0.07	7.71
45.543	12.18	20.72	-0.08	7.56
45.633	18.90	27.44	0.06	7.70
45.723	23.09	31.63	-0.04	7.61
45.813	23.82	32.35	-0.00	7.64
45.903	19.41	27.95	0.07	7.71
45.993	14.75	23.29	-0.09	7.55
46.083	16.07	24.61	0.06	7.70
46.173	17.89	26.43	-0.04	7.60
46.263	17.41	25.94	0.00	7.64
46.353	16.62	25.15	0.06	7.70
46.443	15.34	23.87	-0.08	7.56
46.533	13.35	21.89	0.06	7.70
46.623	11.36	19.89	-0.04	7.60
46.713	9.66	18.19	0.00	7.65
46.804	13.54	22.07	0.00	7.65
46.894	19.95	28.49	-0.07	7.57
46.984	23.78	32.32	0.08	7.72
47.074	23.55	32.09	-0.06	7.58
47.164	18.18	26.72	0.03	7.67
47.254	14.46	23.00	-0.00	7.64
47.344	16.72	25.26	-0.07	7.57
47.434	17.90	26.43	0.08	7.73
47.524	17.12	25.66	-0.07	7.57
47.614	16.41	24.95	0.03	7.67
47.703	14.87	23.41	-0.01	7.64
47.793	12.95	21.49	-0.07	7.58
47.888	10.95	19.49	-0.04	7.60
47.982	9.89	18.42	0.07	7.71
48.072	15.70	24.24	-0.04	7.60
48.162	21.45	29.98	0.01	7.65
48.255	24.16	32.70	-0.05	7.59
48.352	21.75	30.29	0.05	7.69
48.442	16.07	24.60	-0.08	7.56
48.536	14.77	23.30	0.01	7.65
48.632	17.66	26.20	0.07	7.71
48.721	17.56	26.10	-0.04	7.60
48.811	16.91	25.44	0.02	7.66
48.901	15.98	24.52	0.05	7.69
48.991	13.90	22.44	-0.09	7.56
49.081	12.02	20.55	0.07	7.71
49.171	10.11	18.65	-0.05	7.59
49.261	11.40	19.94	0.02	7.66
49.351	18.30	26.84	0.04	7.69
49.441	22.80	31.33	-0.08	7.56
49.542	23.83	32.37	-0.07	7.57
49.635	18.92	27.45	-0.01	7.63
49.731	14.53	23.06	0.08	7.72
49.821	16.42	24.95	-0.05	7.59
49.911	17.82	26.35	0.02	7.66
50.001	17.23	25.76	0.03	7.68
50.091	16.45	24.98	-0.08	7.56
50.181	14.95	23.49	0.08	7.72
50.271	13.07	21.61	-0.05	7.59
50.361	11.13	19.67	0.02	7.66
50.451	9.60	18.13	0.03	7.67
50.540	14.23	22.77	-0.08	7.56
50.630	20.38	28.91	0.08	7.72
50.720	23.82	32.35	-0.05	7.59
50.810	23.18	31.71	0.02	7.66
50.900	17.64	26.18	0.03	7.67
50.990	14.47	23.01	-0.08	7.56
51.085	17.13	25.67	-0.02	7.63
51.180	17.75	26.29	0.07	7.72
51.270	16.95	25.49	-0.05	7.59
51.360	16.32	24.86	0.03	7.67
51.450	14.42	22.96	0.03	7.67
51.540	12.53	21.07	-0.09	7.56
51.630	10.57	19.10	0.08	7.72
51.720	10.12	18.65	-0.06	7.58
51.812	16.65	25.18	0.07	7.71
51.910	22.24	30.78	0.03	7.67
52.000	24.21	32.75	0.02	7.67
52.090	21.00	29.54	-0.08	7.56
52.179	15.64	24.18	0.08	7.72
52.269	14.97	23.50	-0.06	7.59
52.359	17.78	26.32	0.03	7.67
52.449	17.64	26.18	0.02	7.66
52.539	16.73	25.27	-0.08	7.56
52.629	16.11	24.65	0.07	7.72
52.728	13.83	22.36	0.05	7.69
52.826	11.87	20.40	0.03	7.67
52.919	9.93	18.46	-0.06	7.58
53.009	13.16	21.70	0.03	7.67
53.099	19.72	28.25	0.02	7.67
53.189	23.67	32.21	-0.08	7.56
53.279	23.84	32.37	0.07	7.72
53.369	18.77	27.30	-0.06	7.58
53.459	14.75	23.29	0.03	7.67
53.552	16.65	25.19	-0.05	7.59
53.649	18.03	26.57	0.02	7.66
53.739	17.21	25.74	-0.09	7.56
53.829	16.40	24.94	0.08	7.72
53.918	15.03	23.57	-0.06	7.58
54.008	13.04	21.58	0.03	7.67
54.104	11.14	19.67	-0.09	7.56
54.198	10.14	18.68	0.02	7.67
54.288	16.12	24.65	-0.08	7.56
54.378	21.62	30.16	0.08	7.72
54.468	24.28	32.81	-0.06	7.59
54.558	22.28	30.81	0.03	7.67
54.648	16.58	25.12	0.02	7.67
54.738	14.80	23.34	-0.08	7.56
54.828	17.79	26.33	0.08	7.72
54.918	17.86	26.40	-0.06	7.58
55.008	16.99	25.53	0.03	7.67
55.098	16.26	24.80	0.02	7.66
55.188	14.47	23.01	-0.08	7.56
55.278	12.53	21.07	0.08	7.72
55.368	10.60	19.14	-0.06	7.58
55.458	10.61	19.15	0.02	7.67
55.548	17.51	26.05	0.03	7.67
55.638	22.62	31.15	-0.08	7.56
55.727	24.43	32.97	0.08	7.72
55.817	21.23	29.76	-0.05	7.59
55.907	15.82	24.36	0.02	7.66
55.997	15.17	23.71	0.03	7.67
56.087	17.94	26.48	-0.08	7.56
56.177	17.68	26.22	0.08	7.72
56.267	16.69	25.23	-0.05	7.59
56.357	16.04	24.58	0.02	7.66
56.447	14.07	22.61	0.03	7.67
56.537	12.11	20.65	-0.08	7.56
56.627	10.23	18.77	0.08	7.72
56.717	11.67	20.21	-0.05	7.59
56.807	18.49	27.03	0.03	7.67
56.897	23.06	31.60	0.04	7.68
56.989	24.17	32.71	-0.00	7.64
57.093	18.94	27.48	0.08	7.72
57.187	14.71	23.24	-0.09	7.55
57.277	16.59	25.13	0.08	7.72
57.367	18.07	26.60	-0.06	7.59
57.456	17.31	25.85	0.02	7.66
57.546	16.50	25.04	0.03	7.67
57.636	15.30	23.83	-0.09	7.55
57.726	13.25	21.79	0.08	7.72
57.816	11.27	19.80	-0.05	7.59
57.906	9.81	18.34	0.02	7.66
57.996	14.44	22.97	0.03	7.68
58.086	20.63	29.17	-0.08	7.56
58.176	23.97	32.50	0.07	7.72
58.266	23.25	31.79	-0.05	7.59
58.356	17.72	26.25	0.01	7.66
58.446	14.58	23.12	0.04	7.68
58.536	17.19	25.73	-0.08	7.56
58.631	17.90	26.44	-0.03	7.61
58.726	17.03	25.56	0.07	7.71
58.819	16.31	24.85	-0.09	7.56
58.916	14.43	22.96	-0.05	7.59
59.006	12.46	21.00	0.02	7.66
59.096	10.51	19.04	0.05	7.69
59.185	10.65	19.19	-0.09	7.56
59.275	17.55	26.09	0.07	7.72
59.365	22.57	31.10	-0.04	7.60
59.455	24.44	32.98	0.02	7.66
59.545	21.25	29.79	0.05	7.69
59.635	15.69	24.23	-0.08	7.56
59.725	15.13	23.67	0.07	7.71
59.815	17.84	26.38	-0.04	7.60
59.905	17.60	26.13	0.01	7.66
59.995	16.71	25.24	0.05	7.69
60.085	15.93	24.47	-0.09	7.55
60.175	13.91	22.44	0.07	7.71
60.265	11.97	20.50	-0.05	7.60
60.355	10.08	18.62	0.01	7.65
60.445	11.53	20.06	0.05	7.70
60.535	18.48	27.02	-0.08	7.56
60.625	23.06	31.60	0.07	7.71
60.715	24.19	32.73	-0.04	7.60
60.805	20.02	28.56	0.01	7.65
60.894	15.06	23.59	0.06	7.70
60.984	15.68	24.22	-0.08	7.56
61.074	17.92	26.46	0.07	7.71
61.164	17.53	26.07	-0.04	7.60
61.254	16.67	25.20	0.01	7.65
61.344	15.64	24.18	0.06	7.70
61.434	13.55	22.08	-0.08	7.56
61.524	11.59	20.13	0.06	7.71
61.656	9.98	18.51	0.03	7.68
